Name,Longitude,Latitude,Basic Information,Fauna/Flora,Fauna/Flora description,Fauna/Flora pic file name,,Tribes/People,Tributary pic file name,,Music,Call for action
Amazon River,-50.089443 E,0.707778° N,,Boto,"Largest river dolphin
Gray when young
Pink and white when mature",Boto.jepg,✅,Brazilian,Brazilian.png,✅,,Animal protection
,,,,Tucuxi,Dolphin,Tucuxi.png,✅,Tupi,Tupi.png,✅,,
,,,,Manatee,"Does not venture into saltwater
Smallest of manatee species
Vulnerable!",Manatee.png,✅,Tapuia,Tapuia.png,✅,,
,,,,Giant otter,"River wolf
South America’s top carnivores
In danger!",GiantOtter.png,✅,,,,,
,,,,Anaconda,One of the world’s largest species of snakes,Anaconda.png,✅,,,,,
,,,,Arapaima,"Largest freshwater fish
In danger!
Invasive!",Arapaima.png,✅,,,,,
Yellow River,110.501465 E,38.193787° N,,Cyprinidae,Most diverse family in Yellow river basin,Cyprinidae.png,✅,Chinese,Chinese.png,✅,,"Induced species
Overfishing
Pollution"
,,,,Stone loaches,,StoneLoaches.png,✅,,,,,
,,,,Salmonids,,Salmonids.png,✅,,,,,
Yenisei River,98.66361 E,50.72944° N,,Reindeer,Largest reindeer herd,Reindeer.png,✅,Russian,Russian.png,✅,,Radioactive discharge
,,,,Siberian pine,,SiberianPine.png,✅,Yenisey,Yenisey.png,✅,,
,,,,Northern pike,,NorthernPike.png,✅,Khakass,Khakass.png,✅,,
,,,,,,,,Evenk,Evenk.png,✅,,
Yangtze River,94.51222 E,32.60389° N,,Chinese paddlefish,Extinct :(,ChinesePaddlefish.png,✅,Chinese,Chinese.png,✅,,"Overfishing
Habitat loss"
,,,,Anabarilius polylepis,Extinct in wild :(,AnabariliusPolylepis.png,✅（版权？）,,,,,
,,,,Euchiloglanis kishinouyei,Critically endangered!,EuchiloglanisKishinouyei.png,✅（版权？）,,,,,
,,,,Yangtze sturgeon,Critically endangered!,YangtzeSturgeon.png,✅,,,,,
,,,,Chinese sturgeon,Largest fish in river,ChineseSturgeon.png,✅,,,,,
,,,,Chinese alligator,,ChineseAlligator.png,✅,,,,,
,,,,Water deer,,WaterDeer.png,✅,,,,,
,,,,Chinese box turtle,,ChineseBoxTurtle.png,✅,,,,,
,,,,Yunnan lake newt,Extinct :(,YunnanLakeNewt.png,✅（版权？）,,,,,
,,,,Chinese mitten crab,Considered invasive in Europe and North America,ChineseMittenCrab.png,✅,,,,,
Nile River,31.1 E,30.1667° N,,Nile crocodile,,NileCrocodile.png,✅,Democratic Republic of the Congo,DemocraticRepublicOfTheCongo.png,✅,,
,,,,Nile monitor,,NileMonitor.png,✅,Tanzania,Tanzania.png,✅,,
,,,,Loggerhead turtle,,LoggerheadTurtle.png,✅,Burundi,Burundi.png,✅,,
,,,,Bamboo,,Bamboo.png,✅（版权？）,Rwanda,Rwanda.png,✅,,
,,,,Banana trees,,BananaTrees.png,✅,Uganda,Uganda.png,✅,,
,,,,,,,,Kenya,Kenya.png,✅,,
,,,,,,,,Ethiopia,Ethiopia.png,✅,,
,,,,,,,,Eritrea,Eritrea.png,✅,,
,,,,,,,,South Sodan,SouthSodan.png,✅,,
,,,,,,,,Republic of the Sudan,RepublicOfTheSudan.png,✅,,
,,,,,,,,Egypt,Egypt.png,✅,,
Mississippi River,-91.41531 E,31.613014° N,,Bowfin,,Bowfin.png,✅,American,American.png,✅,,
,,,,Walleye,,Walleye.png,✅,Canadian,Canadian.png,✅,,
,,,,American alligators,Native to Southeastern United States,AmericanAlligators.png,✅,Illinois Confederation ,IllinoisConfederation.png,✅（版权？）,,
,,,,Cambaridae crayfish,Largest of freshwater crayfish,CambaridaeCrayfish.png,✅,,,,,